Part Number,technical_classification,Family,Deduced CatS?
21925-17180,SEMS Screw English,32T,FALSE
21926-24241,SEMS Screw English,32T,FALSE
21926-20120,SEMS Screw English,32T,FALSE
21926-20160,SEMS Screw English,32T,FALSE
21926-20240,SEMS Screw English,32T,FALSE
21925-20200,SEMS Screw English,32T,FALSE
21925-17240,SEMS Screw English,32T,FALSE
21926-28280,SEMS Screw English,32T,FALSE
21925-22320,SEMS Screw English,32T,FALSE
21920-12201,SEMS Screw English,32T,FALSE
21925-20240,SEMS Screw English,32T,FALSE
21916-20140,SEMS Screw English,32T,FALSE
21925-20241,SEMS Screw English,32T,FALSE
21922-18741,SEMS Screw English,32T,FALSE
21920-16160,SEMS Screw English,32T,FALSE
21922-16120,SEMS Screw English,32T,FALSE
21920-16121,SEMS Screw English,32T,FALSE
21922-18160,SEMS Screw English,32T,FALSE
21916-17401,SEMS Screw English,32T,FALSE
21916-20741,SEMS Screw English,32T,FALSE
21916-20160,SEMS Screw English,32T,FALSE
21920-16100,SEMS Screw English,32T,FALSE
21922-18360,SEMS Screw English,32T,FALSE
21922-17100,SEMS Screw English,32T,FALSE
21922-08140,SEMS Screw English,32T,FALSE
22999-34450,SEMS Screw English,32T,FALSE
22720-28841,Bolt,31S,FALSE
24201-05160,Cotter Pin,31R,FALSE
25017-00008,,55A,TRUE
25009-00050,,55A,TRUE
25009-00051,,55A,TRUE
21590-16120,General Screw English,32S,FALSE
21590-17100,General Screw English,32S,FALSE
21590-17120,General Screw English,32S,FALSE
21590-17161,General Screw English,32S,FALSE
21590-17201,General Screw English,32S,FALSE
21590-20160,General Screw English,32S,FALSE
21590-20241,General Screw English,32S,FALSE
21592-17101,General Screw English,32S,FALSE
21593-20100,General Screw English,32S,FALSE
HUA42365,Self-Clinching Nut,32X,FALSE
HUA27305,General Washer English,31E,FALSE
V12179004,Quarter Turn Fastener,30F,FALSE
V12179005,Quarter Turn Fastener,30F,FALSE
V12179006,Quarter Turn Fastener,30F,FALSE
HUA42660,General Stud,31M,FALSE
HUA25432,Wire management accessories,54J,FALSE
HUA21194,General Washer English,31E,FALSE
HUA26005,General Washer English,31E,FALSE
HUA26490,Wire management accessories,54J,FALSE
HUA31775,Wire management accessories,54J,FALSE
HUA32541,Wire management accessories,54J,FALSE
HUA32625,Wire management accessories,54J,FALSE
HUA33146,Wire management accessories,54J,FALSE
HUA33228,Wire management accessories,54J,FALSE
HUA36632,Wire management accessories,54J,FALSE
HUA36646,Wire management accessories,54J,FALSE
HUA24196,Insulating Tape,45D,FALSE
HUA29488,Wire management accessories,54J,FALSE
24012-06080,General Rivet English,32P,FALSE
1502627,General Rivet Metric,32M,FALSE
1503036,General Rivet Metric,32M,FALSE
1503841,General Rivet Metric,32M,FALSE
1503910,General Rivet Metric,32M,FALSE
24012-08140,General Rivet English,32P,FALSE
24012-08180,General Rivet English,32P,FALSE
24012-10120,General Rivet English,32P,FALSE
24012-10171,General Rivet English,32P,FALSE
HUA32667,Blind Rivet,32N,FALSE
V1400012,General Rivet Metric,32M,FALSE
V2400034,General Rivet Metric,32M,FALSE
03579495AA,General Rivet Metric,32M,FALSE
03579495BA,General Rivet Metric,32M,FALSE
V10SG20412,General Rivet Metric,32M,FALSE
24303-13190,General Rivet English,32P,FALSE
24303-13230,General Rivet English,32P,FALSE
24303-13280,General Rivet English,32P,FALSE
24303-63280,General Rivet English,32P,FALSE
24303-63330,General Rivet English,32P,FALSE
24303-63410,General Rivet English,32P,FALSE
24303-63490,General Rivet English,32P,FALSE
24303-64270,General Rivet English,32P,FALSE
24303-64312,General Rivet English,32P,FALSE
24303-65420,General Rivet English,32P,FALSE
24303-73225,General Rivet English,32P,FALSE
24303-75280,General Rivet English,32P,FALSE
V12236018,Blind Rivet,32N,FALSE
V1400021,General Rivet Metric,32M,FALSE
V25SZ010310,Blind Rivet,32N,FALSE
24303-93170,General Rivet English,32P,FALSE
24303-93240,General Rivet English,32P,FALSE
24303-95300,General Rivet English,32P,FALSE
24103-06040,General Rivet English,32P,FALSE
24103-08080,General Rivet English,32P,FALSE
24106-12160,General Rivet English,32P,FALSE
24107-00001,General Rivet English,32P,FALSE
24107-12140,General Rivet English,32P,FALSE
24398-10120,General Rivet English,32P,FALSE
24303-15290,General Rivet English,32P,FALSE
21131125,General Rivet Metric,32M,FALSE
HUA10304,Board/Component Spacer,31N,FALSE
HUA13825,Board/Component Spacer,31N,FALSE
HUA14805,Board/Component Spacer,31N,FALSE
HUA38782,Self-Clinching Nut,32X,FALSE
HUA22141,Self-Clinching Nut,32X,FALSE
HUA13292,Board/Component Spacer,31N,FALSE
HUA20456,Board/Component Spacer,31N,FALSE
HUA13127,Standoff,31J,FALSE
HUA14950,Standoff,31J,FALSE
HUA43054,General Washer English,31E,FALSE
23601-00120,General Washer English,31E,FALSE
23601-00142,General Washer English,31E,FALSE
23601-00180,General Washer English,31E,FALSE
23601-00200,General Washer English,31E,FALSE
23601-00201,General Washer English,31E,FALSE
TME02608,Cable Tie,51J,FALSE
21490-22200,General Screw English,32S,FALSE
21490-22320,General Screw English,32S,FALSE
21490-24480,General Screw English,32S,FALSE
21490-24560,General Screw English,32S,FALSE
21492-14140,General Screw English,32S,FALSE
21492-14180,General Screw English,32S,FALSE
21492-22160,General Screw English,32S,FALSE
21501-00001,General Screw English,32S,FALSE
21501-12081,General Screw English,32S,FALSE
21501-12082,General Screw English,32S,FALSE
292010113,Board/Component Spacer,31N,FALSE
292010378,Board/Component Spacer,31N,FALSE
292011003,Board/Component Spacer,31N,FALSE
23601-00220,General Washer English,31E,FALSE
23601-00223,General Washer English,31E,FALSE
23601-00240,General Washer English,31E,FALSE
23601-00242,General Washer English,31E,FALSE
23601-00243,General Washer English,31E,FALSE
23601-00280,General Washer English,31E,FALSE
23601-00282,General Washer English,31E,FALSE
23601-00340,General Washer English,31E,FALSE
23601-10820,General Washer English,31E,FALSE
23601-11230,General Washer English,31E,FALSE
23601-11610,General Washer English,31E,FALSE
23601-11620,General Washer English,31E,FALSE
23601-11630,General Washer English,31E,FALSE
21501-14092,General Screw English,32S,FALSE
21501-14093,General Screw English,32S,FALSE
21501-14104,General Screw English,32S,FALSE
21501-14120,General Screw English,32S,FALSE
21501-14200,General Screw English,32S,FALSE
21501-17080,General Screw English,32S,FALSE
21501-17092,General Screw English,32S,FALSE
21506-00000,General Screw English,32S,FALSE
21506-03120,General Screw English,32S,FALSE
21506-03160,General Screw English,32S,FALSE
21506-03220,General Screw English,32S,FALSE
21506-04080,General Screw English,32S,FALSE
21506-04140,General Screw English,32S,FALSE
21542-02081,General Screw English,32S,FALSE
21590-12081,General Screw English,32S,FALSE
21591-05081,General Screw English,32S,FALSE
21601-00001,General Screw English,32S,FALSE
21601-08120,General Screw English,32S,FALSE
21601-12120,General Screw English,32S,FALSE
21601-14120,General Screw English,32S,FALSE
21601-14200,General Screw English,32S,FALSE
21601-14240,General Screw English,32S,FALSE
21601-16120,General Screw English,32S,FALSE
21601-16240,General Screw English,32S,FALSE
21601-16280,General Screw English,32S,FALSE
23601-12010,General Washer English,31E,FALSE
23601-12030,General Washer English,31E,FALSE
23601-12410,General Washer English,31E,FALSE
23601-13410,General Washer English,31E,FALSE
23602-00008,General Washer English,31E,FALSE
23602-00015,General Washer English,31E,FALSE
23602-10705,General Washer English,31E,FALSE
23602-11009,General Washer English,31E,FALSE
23602-11203,General Washer English,31E,FALSE
23602-11300,General Washer English,31E,FALSE
23602-11301,General Washer English,31E,FALSE
23602-11313,General Washer English,31E,FALSE
23602-11314,General Washer English,31E,FALSE
21506-04240,General Screw English,32S,FALSE
21506-06100,General Screw English,32S,FALSE
21506-06140,General Screw English,32S,FALSE
21506-06180,General Screw English,32S,FALSE
21506-06203,General Screw English,32S,FALSE
21506-06240,General Screw English,32S,FALSE
21506-06241,General Screw English,32S,FALSE
21506-06320,General Screw English,32S,FALSE
21506-08320,General Screw English,32S,FALSE
21506-16480,General Screw English,32S,FALSE
21507-03140,General Screw English,32S,FALSE
21507-03240,General Screw English,32S,FALSE
21507-08320,General Screw English,32S,FALSE
21601-20120,General Screw English,32S,FALSE
21601-20160,General Screw English,32S,FALSE
21601-20240,General Screw English,32S,FALSE
21601-20680,General Screw English,32S,FALSE
21601-20700,General Screw English,32S,FALSE
21601-22240,General Screw English,32S,FALSE
21601-24280,General Screw English,32S,FALSE
21601-24320,General Screw English,32S,FALSE
21601-24360,General Screw English,32S,FALSE
21601-24400,General Screw English,32S,FALSE
21601-24560,General Screw English,32S,FALSE
21601-24640,General Screw English,32S,FALSE
21602-17120,General Screw English,32S,FALSE
23602-11606,General Washer English,31E,FALSE
23602-11608,General Washer English,31E,FALSE
23602-11701,General Washer English,31E,FALSE
23602-11808,General Washer English,31E,FALSE
23602-12200,General Washer English,31E,FALSE
23602-12403,General Washer English,31E,FALSE
23602-12801,General Washer English,31E,FALSE
23602-13306,General Washer English,31E,FALSE
23602-13307,General Washer English,31E,FALSE
23602-13500,General Washer English,31E,FALSE
23602-14210,General Washer English,31E,FALSE
21507-10201,General Screw English,32S,FALSE
21507-12040,General Screw English,32S,FALSE
21507-12080,General Screw English,32S,FALSE
21507-12120,General Screw English,32S,FALSE
21507-12140,General Screw English,32S,FALSE
21507-12200,General Screw English,32S,FALSE
21507-12261,General Screw English,32S,FALSE
21507-12301,General Screw English,32S,FALSE
21507-12341,General Screw English,32S,FALSE
21507-14100,General Screw English,32S,FALSE
21507-14121,General Screw English,32S,FALSE
21507-14240,General Screw English,32S,FALSE
21507-14400,General Screw English,32S,FALSE
21604-10081,General Screw English,32S,FALSE
21604-17320,General Screw English,32S,FALSE
21604-20160,General Screw English,32S,FALSE
21604-20400,General Screw English,32S,FALSE
21604-28320,General Screw English,32S,FALSE
21605-24320,General Screw English,32S,FALSE
21607-00003,General Screw English,32S,FALSE
21607-12160,General Screw English,32S,FALSE
21607-17160,General Screw English,32S,FALSE
21607-17240,General Screw English,32S,FALSE
23603-00080,General Washer English,31E,FALSE
23603-00102,General Washer English,31E,FALSE
23603-00103,General Washer English,31E,FALSE
23603-00143,General Washer English,31E,FALSE
23603-00200,General Washer English,31E,FALSE
23603-00224,General Washer English,31E,FALSE
23603-10010,General Washer English,31E,FALSE
23603-11300,General Washer English,31E,FALSE
23603-12405,General Washer English,31E,FALSE
23603-13010,General Washer English,31E,FALSE
23607-00602,General Washer English,31E,FALSE
21507-14680,General Screw English,32S,FALSE
21507-14690,General Screw English,32S,FALSE
21507-14722,General Screw English,32S,FALSE
21507-14740,General Screw English,32S,FALSE
21507-16120,General Screw English,32S,FALSE
